time,angle,vel,accel,dis,turn_point
9.50,-6.4436,0.9120,1.1997,-0.6361,0
9.52,-5.3774,0.9324,1.0181,-0.6175,0
9.54,-4.2926,0.9491,0.8329,-0.5985,0
9.56,-3.1892,0.9620,0.6440,-0.5793,0
9.58,-2.0787,0.9711,0.4536,-0.5599,0
9.60,-0.9611,0.9763,0.2617,-0.5404,0
9.62,0.1577,0.9777,0.0695,-0.5208,0
9.64,1.2779,0.9752,-0.1231,-0.5013,0
9.66,2.3879,0.9689,-0.3138,-0.4819,0
9.68,3.4879,0.9588,-0.5028,-0.4627,0
9.70,4.5722,0.9450,-0.6890,-0.4438,0
9.72,5.6351,0.9276,-0.8713,-0.4252,0
